order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
O00001,2018-02-25,09:51:32,Breakfast,BK,"[('Coffee', 2), ('Cereal', 1), ('Pancake', 5)]",157.25,-37.8114704,144.9375319,0,10.421,17.6939988
O00002,2018-01-19,08:30:25,Breakfast,BK,"[('Cereal', 8), ('Eggs', 4), ('Coffee', 2), ('Pancake', 3)]",343.75,-37.8146256,144.9382538,1,9.878,7.443623
O00003,2018-07-18,14:35:29,Lunch,NS,"[('Burger', 9), ('Fries', 7), ('Steak', 2)]",453.0,-37.811325,144.9269538,0,10.257,16.0283826
O00004,2018-11-11,18:28:43,Dinner,TP,"[('Shrimp', 1), ('Salmon', 9)]",423.0,-37.815188,144.9450088,0,9.563,14.9075012
O00005,2018-12-10,19:19:26,Dinner,TP,"[('Shrimp', 9), ('Salmon', 7), ('Pasta', 7)]",965.5,-37.802162,144.9762604,0,9.948,13.9642299
O00006,2018-08-07,15:16:03,Lunch,TP,"[('Burger', 3), ('Steak', 3), ('Fries', 5), ('Salad', 1), ('Chicken', 3)]",401.2,-37.8093099,144.9526406,0,9.126,12.44674
O00007,2018-09-24,16:47:19,Dinner,BK,"[('Salmon', 5), ('Shrimp', 2), ('Fish&Chips', 8)]",593.0,-37.8168194,144.9879653,0,5.819,12.4217482
O00008,2018-03-31,10:52:23,Breakfast,NS,"[('Cereal', 2), ('Pancake', 8)]",236.0,-37.8177112,144.9670334,0,8.37,14.9890156
O00009,2018-05-01,11:53:14,Breakfast,NS,"[('Eggs', 6), ('Cereal', 1), ('Coffee', 3), ('Pancake', 8)]",369.5,-37.8049082,144.9468264,0,8.702,8.0709747
O00010,2018-05-25,12:43:56,Lunch,BK,"[('Chicken', 6), ('Salad', 5)]",278.0,-37.8249321,144.9494474,0,9.444,15.4323941
O00011,2018-02-10,09:10:59,Breakfast,NS,"[('Cereal', 7), ('Coffee', 10), ('Pancake', 5), ('Eggs', 4)]",431.25,-37.8244191,144.9733024,0,9.339,16.595315
O00012,2018-11-11,18:18:35,Dinner,BK,"[('Salmon', 1), ('Fish&Chips', 4), ('Shrimp', 6), ('Pasta', 8)]",725.0,-37.8028781,144.9606271,0,7.967,17.220817
O00013,2018-05-27,12:43:56,Lunch,BK,"[('Steak', 1), ('Salad', 4), ('Chicken', 3), ('Burger', 7)]",426.8,-37.8196171,144.9791999,0,6.871,15.343069
O00014,2018-08-28,15:56:37,Lunch,NS,"[('Steak', 8), ('Fries', 6)]",432.0,-37.8224826,144.9530295,0,9.794,15.9910824
O00015,2018-03-10,10:11:49,Breakfast,BK,"[('Coffee', 4), ('Cereal', 5)]",135.0,-37.8233277,144.9780786,0,7.211,14.4845814
O00016,2018-06-03,13:04:13,Lunch,NS,"[('Fries', 6), ('Salad', 5), ('Burger', 3), ('Chicken', 10), ('Steak', 5)]",796.0,-37.8044354,144.928002,0,10.536,18.3658912
O00017,2018-03-21,10:32:06,Breakfast,BK,"[('Coffee', 4), ('Pancake', 9), ('Eggs', 4), ('Cereal', 10)]",546.25,-37.8149938,144.9605383,0,7.976,12.9964558
O00018,2018-10-29,17:58:18,Dinner,NS,"[('Salmon', 8), ('Shrimp', 4)]",544.0,-37.8196174,144.9687616,0,9.307,15.0113797
O00019,2018-10-05,17:07:36,Dinner,NS,"[('Shrimp', 3), ('Pasta', 3), ('Fish&Chips', 1)]",279.5,-37.8141096,144.9676563,0,7.842,13.801472
O00020,2018-06-06,13:04:13,Lunch,BK,"[('Fries', 5), ('Salad', 3), ('Burger', 2)]",173.6,-37.8252835,145.011873,0,5.038,10.7790495
O00021,2018-07-15,14:25:21,Lunch,TP,"[('Burger', 1), ('Chicken', 10), ('Salad', 10), ('Steak', 1)]",568.0,-37.8021603,144.9666228,0,9.62,14.3369846
O00022,2018-10-16,17:27:53,Dinner,NS,"[('Pasta', 4), ('Fish&Chips', 4), ('Shrimp', 4), ('Salmon', 6)]",712.0,-37.8235142,144.9954167,0,10.131,16.6299496
O00023,2018-01-28,08:50:42,Breakfast,TP,"[('Eggs', 4), ('Coffee', 7)]",140.5,-37.798247,144.9617498,0,10.019,13.5439702
O00024,2018-09-24,16:47:19,Dinner,BK,"[('Salmon', 2), ('Fish&Chips', 1)]",117.0,-37.8169154,144.9881339,0,5.805,12.8649389
O00025,2018-01-26,08:50:42,Breakfast,TP,"[('Cereal', 1), ('Eggs', 6)]",153.0,-37.8190834,144.9465685,0,9.173,12.3408894
O00026,2018-01-09,08:10:08,Breakfast,NS,"[('Eggs', 3), ('Cereal', 6), ('Pancake', 1), ('Coffee', 1)]",223.75,-37.8143577,144.955229,1,8.493,6.46172
O00027,2018-05-07,12:03:22,Lunch,TP,"[('Salad', 10), ('Fries', 3), ('Steak', 1), ('Burger', 3)]",346.0,-37.8093137,144.9339968,0,10.73,13.4285215
O00028,2018-01-29,08:50:42,Breakfast,BK,"[('Cereal', 7), ('Eggs', 3)]",213.0,-37.8148306,144.9689365,0,7.294,12.3173973
O00029,2018-08-19,15:36:20,Lunch,BK,"[('Chicken', 8), ('Salad', 8), ('Burger', 6), ('Steak', 3)]",714.6,-37.8246122,144.9528441,0,9.119,11.8458556
O00030,2018-08-29,15:56:37,Lunch,TP,"[('Salad', 4), ('Fries', 5), ('Burger', 3)]",221.8,-37.8173643,144.9460147,0,9.356,12.5866422
O00031,2018-09-10,16:16:54,Dinner,TP,"[('Salmon', 1), ('Fish&Chips', 6), ('Shrimp', 7)]",629.0,-37.8071804,144.996243,0,10.965,15.0435684
O00032,2018-11-04,18:08:27,Dinner,NS,"[('Shrimp', 2), ('Fish&Chips', 2), ('Salmon', 1)]",219.0,-37.8115161,144.9526832,0,8.492,16.3965638
O00033,2018-05-16,12:23:39,Lunch,BK,"[('Chicken', 1), ('Fries', 5), ('Burger', 5)]",247.0,-37.809039,144.9719353,0,7.233,13.3334769
O00034,2018-08-29,15:56:37,Lunch,NS,"[('Fries', 4), ('Burger', 10), ('Chicken', 3), ('Salad', 4), ('Steak', 2)]",612.8,-37.8188941,144.9785274,0,9.501,14.7599574
O00035,2018-09-12,16:27:02,Dinner,NS,"[('Fish&Chips', 3), ('Shrimp', 10)]",645.0,-37.8093814,144.9317534,0,9.711,16.3576831
O00036,2018-03-31,10:52:23,Breakfast,NS,"[('Pancake', 9), ('Eggs', 1), ('Cereal', 5)]",345.25,-37.8127562,144.9891122,0,8.772,16.1966433
O00037,2018-12-19,19:39:43,Dinner,NS,"[('Salmon', 3), ('Fish&Chips', 2), ('Pasta', 9)]",440.5,-37.8211755,144.9549802,0,9.435,15.3962907
O00038,2018-05-17,12:23:39,Lunch,TP,"[('Burger', 8), ('Steak', 1), ('Fries', 6)]",365.0,-37.7989639,144.9517413,0,10.183,13.4553595
O00039,2018-05-10,12:13:31,Lunch,TP,"[('Chicken', 2), ('Steak', 10), ('Burger', 9)]",793.0,-37.8004558,144.9901827,0,11.07,14.6386673
O00040,2018-04-11,11:12:40,Breakfast,BK,"[('Eggs', 5), ('Pancake', 5), ('Coffee', 5)]",268.75,-37.8317585,144.9649035,0,9.093,7.881402899999999
O00041,2018-05-27,12:43:56,Lunch,BK,"[('Steak', 6), ('Salad', 2), ('Chicken', 1), ('Fries', 1)]",348.4,-37.8252026,144.992677,0,6.825,15.508459
O00042,2018-08-28,15:56:37,Lunch,BK,"[('Fries', 4), ('Chicken', 6), ('Salad', 3), ('Burger', 6), ('Steak', 10)]",927.6,-37.8142003,144.96317,0,7.725,13.2423657
O00043,2018-01-30,08:50:42,Breakfast,BK,"[('Eggs', 2), ('Coffee', 1), ('Cereal', 10), ('Pancake', 8)]",455.5,-37.803419,144.9914904,0,5.505,9.8446434
O00044,2018-05-26,12:43:56,Lunch,TP,"[('Salad', 9), ('Steak', 2), ('Fries', 4), ('Chicken', 6)]",484.8,-37.8236258,144.9808734,0,8.512,12.9895765
O00045,2018-04-14,11:22:49,Breakfast,BK,"[('Eggs', 3), ('Pancake', 9), ('Cereal', 8)]",452.25,-37.8008223,144.9417567,0,9.603,17.2773298
O00046,2018-12-23,19:49:51,Dinner,TP,"[('Salmon', 6), ('Fish&Chips', 1)]",281.0,-37.8198403,145.0041663,0,11.053,16.3727441
O00047,2018-09-02,16:06:45,Dinner,NS,"[('Salmon', 6), ('Pasta', 3)]",328.5,-37.813452,144.9655908,0,7.84,16.0134451
O00048,2018-02-17,09:31:16,Breakfast,TP,"[('Pancake', 8), ('Coffee', 5), ('Eggs', 6)]",363.5,-37.8094362,144.9630427,0,8.687,12.7684024
O00049,2018-06-01,12:54:05,Lunch,TP,"[('Salad', 2), ('Fries', 3), ('Steak', 7), ('Chicken', 6), ('Burger', 10)]",887.4,-37.7949801,144.9309314,0,11.848,14.7715361
O00050,2018-02-05,09:00:50,Breakfast,BK,"[('Eggs', 1), ('Pancake', 2), ('Cereal', 1)]",91.5,-37.817353,144.9910206,0,5.557,10.1629403
O00051,2018-09-18,16:37:10,Dinner,BK,"[('Fish&Chips', 8), ('Salmon', 1), ('Shrimp', 9), ('Pasta', 4)]",917.0,-37.8063482,144.9561166,0,8.33,8.9973252
O00052,2018-06-25,13:44:47,Lunch,BK,"[('Salad', 8), ('Fries', 3)]",173.6,-37.8243208,144.983089,0,7.02,12.5888665
O00053,2018-03-15,10:21:58,Breakfast,NS,"[('Pancake', 3), ('Eggs', 6), ('Cereal', 7)]",351.75,-37.8204207,144.9850024,0,9.189,13.9872995
O00054,2018-06-02,13:04:13,Lunch,NS,"[('Salad', 1), ('Fries', 3), ('Steak', 3)]",188.2,-37.8124518,144.9587199,0,8.066,23.7287739
O00055,2018-02-13,09:21:07,Breakfast,BK,"[('Eggs', 10), ('Cereal', 4)]",304.0,-37.8035334,144.9729297,0,7.089,12.16916
O00056,2018-05-29,12:54:05,Lunch,NS,"[('Salad', 5), ('Steak', 2), ('Chicken', 3)]",272.0,-37.8166784,144.9876868,0,9.002,14.7884249
O00057,2018-06-08,13:14:21,Lunch,BK,"[('Salad', 3), ('Chicken', 9), ('Burger', 2)]",401.6,-37.8049012,144.9517174,0,8.552,14.3152546
O00058,2018-11-13,18:28:43,Dinner,BK,"[('Shrimp', 2), ('Fish&Chips', 7), ('Pasta', 8), ('Salmon', 7)]",860.0,-37.8206841,144.9413672,0,9.894,16.7619985
O00059,2018-11-01,18:08:27,Dinner,NS,"[('Salmon', 10), ('Fish&Chips', 7), ('Shrimp', 9), ('Pasta', 2)]",1196.0,-37.8046197,144.9884451,0,8.046,13.8202314
O00060,2018-07-25,14:45:38,Lunch,NS,"[('Burger', 10), ('Salad', 2), ('Chicken', 5)]",504.4,-37.8241121,144.9771169,0,9.154,14.3883396
O00061,2018-09-09,16:16:54,Dinner,TP,"[('Fish&Chips', 8), ('Shrimp', 6), ('Pasta', 1), ('Salmon', 8)]",959.5,-37.8234541,144.9937219,0,9.755,15.4412849
O00062,2018-09-30,16:57:27,Dinner,BK,"[('Fish&Chips', 3), ('Shrimp', 4), ('Pasta', 8), ('Salmon', 5)]",746.0,-37.7989222,144.977281,0,7.151,16.3125646
O00063,2018-02-07,09:10:59,Breakfast,TP,"[('Eggs', 2), ('Cereal', 1), ('Pancake', 5), ('Coffee', 1)]",193.75,-37.8224249,144.9395599,0,9.582,11.8514161
O00064,2018-10-12,17:27:53,Dinner,BK,"[('Shrimp', 3), ('Fish&Chips', 3), ('Pasta', 10), ('Salmon', 5)]",747.0,-37.8088649,144.9451412,0,9.22,16.3200462
O00065,2018-08-29,15:56:37,Lunch,TP,"[('Fries', 4), ('Steak', 1)]",93.0,-37.810548,144.9609973,0,8.507,20.009289199999998
O00066,2018-07-27,14:45:38,Lunch,BK,"[('Fries', 7), ('Chicken', 9), ('Burger', 1)]",403.0,-37.8271104,144.9836705,0,8.173,13.89133
O00067,2018-01-13,08:20:16,Breakfast,TP,"[('Eggs', 6), ('Cereal', 2), ('Coffee', 2)]",189.0,-37.821639,144.9450746,1,9.157,6.6262292
O00068,2018-07-30,14:55:46,Lunch,TP,"[('Chicken', 1), ('Burger', 6)]",218.0,-37.812169,144.9737831,0,8.787,11.5313566
O00069,2018-04-17,11:22:49,Breakfast,NS,"[('Cereal', 1), ('Pancake', 4), ('Coffee', 9), ('Eggs', 7)]",339.5,-37.8124133,144.9622451,0,7.87,13.4273103
O00070,2018-02-06,09:10:59,Breakfast,NS,"[('Coffee', 1), ('Pancake', 7), ('Cereal', 2)]",219.25,-37.8246287,144.9884774,0,9.64,14.5471911
O00071,2018-11-25,18:49:00,Dinner,TP,"[('Pasta', 9), ('Shrimp', 7)]",625.5,-37.8200044,144.9813425,0,8.879,14.2939796
O00072,2018-08-23,15:46:28,Lunch,TP,"[('Steak', 5), ('Burger', 9), ('Salad', 10), ('Chicken', 6), ('Fries', 5)]",928.0,-37.8264748,144.9516952,0,8.503,19.948534199999997
O00073,2018-10-10,17:17:44,Dinner,TP,"[('Pasta', 1), ('Shrimp', 1), ('Fish&Chips', 8)]",361.5,-37.8123436,144.9535614,0,9.042,13.5161592
O00074,2018-05-18,12:33:48,Lunch,BK,"[('Burger', 7), ('Steak', 8), ('Chicken', 7), ('Salad', 9)]",955.8,-37.8045374,144.9431479,0,9.221,15.0697275
O00075,2018-07-24,14:45:38,Lunch,BK,"[('Steak', 3), ('Salad', 8), ('Fries', 1)]",284.6,-37.799876,144.984555,0,6.462,12.4915891
O00076,2018-12-25,19:49:51,Dinner,NS,"[('Salmon', 10), ('Shrimp', 3), ('Pasta', 10), ('Fish&Chips', 9)]",1162.0,-37.807161,144.9680556,0,6.919,12.708707
O00077,2018-09-18,16:37:10,Dinner,BK,"[('Shrimp', 2), ('Pasta', 5)]",245.5,-37.7915638,144.9317598,0,13.231,20.6714253
O00078,2018-06-26,13:44:47,Lunch,NS,"[('Chicken', 1), ('Steak', 2), ('Salad', 2), ('Burger', 4), ('Fries', 10)]",400.4,-37.8247614,144.9847158,0,9.498,14.762002
O00079,2018-10-22,17:48:10,Dinner,TP,"[('Salmon', 9), ('Fish&Chips', 4), ('Pasta', 7)]",701.5,-37.8193597,144.952975,0,8.52,13.0397371
O00080,2018-11-21,18:49:00,Dinner,BK,"[('Shrimp', 7), ('Pasta', 3), ('Fish&Chips', 1)]",495.5,-37.8193063,144.9897682,0,5.855,12.4199614
O00081,2018-06-02,13:04:13,Lunch,TP,"[('Fries', 1), ('Salad', 5), ('Chicken', 2), ('Steak', 6)]",432.0,-37.8124518,144.9587199,0,8.672,13.1671203
O00082,2018-04-10,11:12:40,Breakfast,NS,"[('Coffee', 4), ('Eggs', 1), ('Pancake', 2)]",100.5,-37.8046445,144.9398597,0,9.813,14.662659
O00083,2018-02-27,09:51:32,Breakfast,NS,"[('Cereal', 6), ('Pancake', 2), ('Coffee', 6)]",219.5,-37.8098124,144.976242,0,7.849,12.8603695
O00084,2018-03-13,10:21:58,Breakfast,NS,"[('Pancake', 3), ('Cereal', 8), ('Eggs', 6)]",372.75,-37.8238537,144.9811678,0,9.398,15.257131
O00085,2018-07-06,14:05:04,Lunch,TP,"[('Salad', 5), ('Fries', 9), ('Steak', 10), ('Chicken', 4), ('Burger', 1)]",803.0,-37.8139087,144.9551027,0,8.675,11.888369
O00086,2018-09-11,16:27:02,Dinner,BK,"[('Shrimp', 10), ('Salmon', 1), ('Fish&Chips', 10), ('Pasta', 9)]",1178.5,-37.8083078,144.9686756,0,6.942,13.7123124
O00087,2018-04-18,11:32:57,Breakfast,NS,"[('Eggs', 1), ('Pancake', 1), ('Cereal', 5)]",151.25,-37.8130608,144.97391,0,7.643,12.5804665
O00088,2018-10-18,17:38:01,Dinner,BK,"[('Pasta', 4), ('Shrimp', 5), ('Salmon', 4), ('Fish&Chips', 7)]",789.0,-37.8033206,144.9511536,0,8.584,15.2835607
O00089,2018-06-09,13:14:21,Lunch,TP,"[('Chicken', 4), ('Salad', 4), ('Steak', 4)]",376.8,-37.8260948,144.9580486,0,8.309,13.0311807
O00090,2018-05-22,12:33:48,Lunch,NS,"[('Steak', 8), ('Salad', 9), ('Chicken', 6), ('Fries', 2), ('Burger', 2)]",792.8,-37.8068159,144.944843,0,9.133,14.8834378
O00091,2018-03-21,10:32:06,Breakfast,TP,"[('Pancake', 4), ('Eggs', 9)]",295.0,-37.8140025,144.9603382,0,8.337,11.6658913
O00092,2018-02-21,09:41:24,Breakfast,NS,"[('Coffee', 4), ('Cereal', 3), ('Eggs', 8)]",269.0,-37.8049521,144.9953579,0,8.697,13.5914295
O00093,2018-05-12,12:23:39,Lunch,BK,"[('Chicken', 5), ('Fries', 3)]",196.0,-37.8042332,144.9939455,0,5.237,13.0201827
O00094,2018-08-25,15:46:28,Lunch,NS,"[('Burger', 9), ('Fries', 9)]",387.0,-37.8053164,144.937245,0,9.653,17.4871245
O00095,2018-03-24,10:42:15,Breakfast,TP,"[('Pancake', 2), ('Coffee', 1), ('Eggs', 1), ('Cereal', 5)]",183.0,-37.818102,144.9317802,0,10.717,14.7455372
O00096,2018-11-03,18:08:27,Dinner,BK,"[('Fish&Chips', 2), ('Pasta', 2), ('Salmon', 10), ('Shrimp', 7)]",913.0,-37.8008412,145.0148545,0,5.017,13.9676457
O00097,2018-07-14,14:25:21,Lunch,BK,"[('Salad', 7), ('Burger', 3), ('Steak', 4), ('Fries', 3), ('Chicken', 8)]",685.4,-37.8186231,145.0003569,0,4.844,12.7104512
O00098,2018-04-08,11:12:40,Breakfast,BK,"[('Eggs', 5), ('Coffee', 1), ('Cereal', 1), ('Pancake', 5)]",259.75,-37.8080672,144.9692183,0,6.884,13.7619859
O00099,2018-02-26,09:51:32,Breakfast,TP,"[('Cereal', 1), ('Pancake', 4), ('Coffee', 7), ('Eggs', 8)]",346.5,-37.8233525,144.9671934,0,7.798,10.7752788
O00100,2018-04-28,11:53:14,Breakfast,TP,"[('Coffee', 2), ('Eggs', 5), ('Cereal', 1)]",146.0,-37.8001034,144.9610721,0,9.696,13.9660684
O00101,2018-10-30,17:58:18,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 3), ('Shrimp', 3)]",495.0,-37.8118901,144.9613941,0,8.46,12.6539304
O00102,2018-04-03,11:02:32,Breakfast,NS,"[('Pancake', 3), ('Eggs', 7), ('Cereal', 10), ('Coffee', 10)]",511.75,-37.8229052,144.985527,0,9.168,14.3834878
O00103,2018-11-10,18:18:35,Dinner,BK,"[('Salmon', 8), ('Fish&Chips', 4)]",468.0,-37.8193861,145.0073063,0,4.259,13.071285
O00104,2018-12-18,19:39:43,Dinner,TP,"[('Salmon', 8), ('Shrimp', 10), ('Fish&Chips', 7), ('Pasta', 5)]",1250.5,-37.8083395,144.9490344,0,9.614,13.792193
O00105,2018-08-18,15:36:20,Lunch,BK,"[('Chicken', 1), ('Fries', 4)]",80.0,-37.8136163,144.9656842,0,7.504,16.0862223
O00106,2018-11-01,18:08:27,Dinner,TP,"[('Fish&Chips', 9), ('Pasta', 9), ('Shrimp', 10), ('Salmon', 1)]",1143.5,-37.8253037,144.9806862,0,9.005,12.6329869
O00107,2018-08-01,14:55:46,Lunch,TP,"[('Salad', 3), ('Steak', 7), ('Fries', 4)]",414.6,-37.8069403,144.9488771,0,9.665,13.0132603
O00108,2018-12-07,19:19:26,Dinner,BK,"[('Pasta', 2), ('Fish&Chips', 4), ('Salmon', 7), ('Shrimp', 9)]",968.0,-37.8128792,144.9716044,0,6.99,13.6582303
O00109,2018-05-23,12:43:56,Lunch,TP,"[('Salad', 8), ('Burger', 7), ('Steak', 5), ('Chicken', 1)]",611.6,-37.8153434,144.986174,0,9.515,13.0259427
O00110,2018-06-20,13:34:38,Lunch,TP,"[('Salad', 4), ('Steak', 7), ('Burger', 5), ('Fries', 5)]",598.8,-37.8041632,144.9490836,0,9.84,12.5861637
O00111,2018-12-17,19:39:43,Dinner,BK,"[('Shrimp', 2), ('Pasta', 9), ('Fish&Chips', 8)]",635.5,-37.807676,144.9552709,0,8.298,15.4216207
O00112,2018-10-13,17:27:53,Dinner,TP,"[('Salmon', 1), ('Pasta', 9), ('Shrimp', 2)]",396.5,-37.8208463,144.9572681,0,8.019,13.8454148
O00113,2018-11-12,18:28:43,Dinner,NS,"[('Shrimp', 1), ('Fish&Chips', 1), ('Salmon', 3)]",212.0,-37.8044394,144.9785221,0,7.179,21.1067829
O00114,2018-08-05,15:05:54,Lunch,BK,"[('Chicken', 3), ('Salad', 1), ('Fries', 9)]",221.2,-37.8122844,144.9549798,0,8.23,16.6491494
O00115,2018-04-22,11:32:57,Breakfast,BK,"[('Eggs', 2), ('Coffee', 2), ('Cereal', 8)]",227.0,-37.8187396,144.9532457,0,8.812,15.4771767
O00116,2018-07-16,14:25:21,Lunch,TP,"[('Burger', 3), ('Salad', 2)]",127.4,-37.8057283,144.9550903,0,9.372,12.5811933
O00117,2018-09-15,16:27:02,Dinner,BK,"[('Shrimp', 10), ('Salmon', 6)]",786.0,-37.8156656,144.9654653,0,7.681,17.1964025
O00118,2018-12-21,19:39:43,Dinner,NS,"[('Pasta', 5), ('Salmon', 7)]",424.5,-37.8159474,144.9326379,0,9.287,15.1314561
O00119,2018-07-06,14:05:04,Lunch,NS,"[('Chicken', 7), ('Burger', 6), ('Fries', 10), ('Steak', 7)]",845.0,-37.8108905,144.9886992,0,8.577,13.8860979
O00120,2018-07-23,14:45:38,Lunch,BK,"[('Burger', 2), ('Fries', 7)]",146.0,-37.8238164,145.0094445,0,4.817,10.6098661
O00121,2018-08-13,15:26:11,Lunch,NS,"[('Salad', 9), ('Chicken', 4), ('Fries', 4), ('Steak', 7)]",645.8,-37.8101569,144.9888213,0,8.517,13.7839965
O00122,2018-05-10,12:13:31,Lunch,TP,"[('Steak', 4), ('Burger', 8)]",428.0,-37.8019877,144.9637723,0,9.531,13.060897
O00123,2018-03-02,09:51:32,Breakfast,NS,"[('Eggs', 1), ('Coffee', 7), ('Cereal', 9)]",263.5,-37.817893,144.9900038,0,9.277,14.1393051
O00124,2018-12-16,19:29:34,Dinner,TP,"[('Salmon', 5), ('Shrimp', 5)]",475.0,-37.8243787,144.9442891,0,9.097,14.8323856
O00125,2018-03-15,10:21:58,Breakfast,BK,"[('Coffee', 2), ('Pancake', 2), ('Cereal', 9)]",252.5,-37.8153045,144.985822,0,5.865,10.1831729
O00126,2018-05-28,12:54:05,Lunch,NS,"[('Salad', 4), ('Fries', 4), ('Chicken', 10)]",436.8,-37.8140509,144.9599803,0,8.198,7.7813924
O00127,2018-11-18,18:38:52,Dinner,BK,"[('Salmon', 8), ('Shrimp', 8), ('Pasta', 5), ('Fish&Chips', 7)]",1142.5,-37.816669,145.008826,0,3.858,13.5873364
O00128,2018-03-17,10:21:58,Breakfast,NS,"[('Coffee', 6), ('Eggs', 5), ('Cereal', 3)]",218.0,-37.8075276,144.97136,0,6.959,14.3128458
O00129,2018-08-11,15:16:03,Lunch,NS,"[('Fries', 6), ('Steak', 8), ('Chicken', 5)]",592.0,-37.8200687,144.9651511,0,8.787,16.1968345
O00130,2018-03-31,10:52:23,Breakfast,TP,"[('Cereal', 2), ('Eggs', 9), ('Pancake', 10)]",482.5,-37.8121452,144.9628902,0,8.286,12.4762499
O00131,2018-06-03,13:04:13,Lunch,TP,"[('Burger', 9), ('Chicken', 6), ('Steak', 5)]",696.0,-37.825403,144.9569625,0,8.099,13.253456
O00132,2018-10-24,17:48:10,Dinner,NS,"[('Salmon', 2), ('Pasta', 9), ('Shrimp', 10)]",869.5,-37.8153616,144.9646298,0,8.165,14.2220033
O00133,2018-09-26,16:47:19,Dinner,NS,"[('Fish&Chips', 9), ('Pasta', 9)]",562.5,-37.8167966,144.9699858,0,8.103,14.1568531
O00134,2018-01-28,08:50:42,Breakfast,BK,"[('Coffee', 9), ('Cereal', 5), ('Pancake', 10)]",415.0,-37.8102036,144.9370154,0,10.012,17.5546767
O00135,2018-02-11,09:21:07,Breakfast,NS,"[('Eggs', 8), ('Pancake', 2)]",224.5,-37.8160461,144.9722204,0,7.902,14.8608318
O00136,2018-10-19,17:38:01,Dinner,TP,"[('Pasta', 5), ('Fish&Chips', 8), ('Shrimp', 6)]",741.5,-37.8183928,144.9670339,0,7.604,11.117336
O00137,2018-11-20,18:38:52,Dinner,NS,"[('Shrimp', 3), ('Pasta', 5)]",299.5,-37.8180578,144.9520378,0,9.321,15.703149
O00138,2018-11-28,18:59:09,Dinner,BK,"[('Shrimp', 6), ('Salmon', 3)]",447.0,-37.8050461,144.9672492,0,7.215,14.1864799
O00139,2018-08-08,15:16:03,Lunch,TP,"[('Chicken', 5), ('Steak', 7), ('Fries', 9), ('Burger', 4), ('Salad', 8)]",844.6,-37.8029968,144.9494294,0,9.959,13.5118358
O00140,2018-02-09,09:10:59,Breakfast,BK,"[('Cereal', 8), ('Coffee', 9)]",235.5,-37.8147538,144.968845,0,7.308,12.3214039
