u,v,distance_m
711327755,711332946,58.0
711327756,703557073,4.0
711327759,703557072,5.0
711327760,711331451,59.0
777781264,387153082,14.0
356125087,356124993,107.0
560988348,758611953,66.0
560988354,560988348,86.0
560988353,2347007251,5.0
560988353,3810637310,12.0
367132897,6207245784,58.0
579993929,579993932,22.0
579993932,579994885,31.0
767820210,368390158,39.0
767820210,368389680,127.0
6226313833,575570532,56.0
6226313833,746924716,19.0
6226313842,576834725,15.0
6226313842,6226313846,272.0
6226313846,575467530,7.0
6226313846,575384839,44.0
6226313846,6226313842,272.0
3276407461,92141618,68.0
775946936,777825195,20.0
775946941,777832638,11.0
1132069603,60653717,4.0
1132069612,1132069613,4.0
1132069613,635530384,6.0
579470070,55905953,32.0
1132069623,1132069653,5.0
1132069624,635530497,115.0
1132069648,1132069603,3.0
1132069653,506050308,5.0
54552174,575384239,17.0
2935358337,2935358343,4.0
2935358344,2935358337,5.0
54552188,575390860,19.0
560989090,301537530,48.0
710018065,710018068,7.0
710018068,4969353892,73.0
589431853,1327098219,3.0
589431853,2776396941,99.0
560989237,528650475,31.0
589431885,589431853,61.0
282854566,282854567,39.0
282854567,282854568,46.0
282854568,282854569,75.0
282854569,282854570,99.0
282854570,282854571,67.0
282854571,282854572,72.0
1224869048,1224856493,3.0
1224869051,1224856497,8.0
1224869049,1224869065,15.0
1224869056,1224869051,8.0
1224869058,1224869091,6.0
1224869068,635493548,117.0
250479829,1982440009,55.0
250479836,250480609,13.0
1224869091,1224854753,30.0
250479850,250479864,96.0
1224869101,1224869048,5.0
1224869101,277125478,13.0
250479864,1463620982,5.0
579994885,579994943,29.0
250479885,3431070188,69.0
2577925392,579515304,155.0
250479896,1463547093,112.0
250479903,443274289,4.0
579994943,579995038,190.0
282854772,282852909,9.0
282854778,282854783,45.0
282854783,282854566,60.0
2170946980,2029614911,20.0
2170946980,2213981040,32.0
560989608,301544549,4.0
560989608,844489301,45.0
560989610,560989611,4.0
560989611,844462098,5.0
591398356,591398359,24.0
591398359,591408190,113.0
2789606893,2213981051,43.0
2789606895,2789606893,9.0
608962184,541122905,9.0
576860418,643991276,9.0
576860418,576860085,9.0
266733258,30944137,16.0
1224869661,709966972,18.0
1224869676,634774941,14.0
1224869677,1224869676,186.0
634783578,634783937,42.0
1367607237,1367607240,118.0
1367607240,370242314,10.0
250480609,250480641,74.0
250480634,2312383359,160.0
250480641,30947985,30.0
250480649,30947985,39.0
250480649,30947983,50.0
250480655,2236727765,2.0
250480655,705744124,79.0
250480659,250480672,79.0
250480659,332794352,80.0
250480662,35301705,64.0
250480662,2672365503,49.0
250480666,250480669,72.0
250480669,30948020,57.0
250480672,250480677,72.0
250480672,250480659,79.0
250480677,2672365503,27.0
250480677,250480672,72.0
54396972,387153042,10.0
634783845,123087006,36.0
634783937,634774998,38.0
906234093,128891277,16.0
906234093,2384157684,134.0
906234095,305909758,124.0
906234095,2384157684,191.0
634784031,634784032,9.0
634784032,634783578,28.0
356124993,269327967,66.0
575539547,576818194,92.0
634784114,634783914,13.0
634784124,634784114,21.0
634784125,634784124,9.0
634784134,634784125,74.0
123079071,633912912,12.0
2346846625,233578163,46.0
332794352,244283340,87.0
6206786039,589402277,24.0
332794361,332794364,73.0
30385484,5959605036,37.0
30385485,356088432,47.0
266734205,767665017,7.0
266734205,767665024,7.0
266734280,417273054,158.0
634784608,634777956,6.0
95554473,251083833,41.0
2894990347,589805478,6.0
122817581,589704716,8.0
2090732592,4309902215,18.0
2090732592,302571407,53.0
122817608,3743608254,4.0
595594344,595594345,27.0
595594345,6207022858,12.0
595594346,6207022860,8.0
595594347,6167236677,7.0
595594347,595594348,17.0
595594348,6167344540,4.0
595594349,595594350,36.0
595594350,595594351,78.0
595594351,6167344517,64.0
595594352,6167344378,7.0
595594353,595594354,39.0
595594354,4544002876,43.0
595594355,6167265883,46.0
595594357,4544035096,43.0
595594360,595594361,40.0
595594361,131221744,12.0
595594361,595594362,44.0
595594362,595594363,17.0
595594363,6167489445,22.0
595594365,6167152987,84.0
595594366,4520380525,4.0
595594367,634783845,102.0
595594369,123087089,56.0
595594369,595594370,32.0
595594370,595594371,14.0
595594371,26034526,12.0
595594371,2850399839,78.0
122817669,589759812,4.0
122817669,760180220,5.0
35523908,1283629001,28.0
35523916,777906400,12.0
35523917,53133031,62.0
598347137,1327098219,2.0
598347137,598347148,36.0
598347148,598347137,36.0
598347148,598401578,30.0
260907255,260907218,129.0
35524096,35524350,118.0
1449266727,1449266782,114.0
1449266733,1449285248,12.0
1449266728,1449266736,16.0
1449266736,1449316577,33.0
387700302,664378915,84.0
387700302,847533460,4.0
2190478922,6167191167,5.0
2190478926,6167417946,3.0
2190478928,4326586221,5.0
2190478928,6167191729,9.0
2190478930,4326586213,5.0
2190478932,4326586220,4.0
2190478934,6167440966,8.0
2190478934,6167440973,6.0
2190478936,4326586210,5.0
2190478940,4326586223,5.0
2190478940,591429117,100.0
2190478937,3394726640,105.0
2190478937,6167247326,7.0
1449266782,1449266796,14.0
1449266796,1449266802,68.0
1449266802,1449266728,91.0
277089909,767584653,12.0
711331451,711327759,8.0
1449266841,1449295035,309.0
4301655729,260906825,73.0
560991951,560991956,4.0
560991954,560991962,5.0
774508242,774527826,4.0
774508242,1691676440,18.0
560991956,844412409,4.0
560991962,844489669,5.0
35524350,53132178,54.0
356126466,356126633,6.0
711331595,277517044,5.0
1905004303,1905004304,8.0
1905004304,1905004354,15.0
1905004354,845692519,15.0
1905004354,4398351515,108.0
6212685642,1449308623,85.0
222957430,248969196,62.0
222957430,30287591,243.0
581701516,581703526,251.0
356126633,356127424,38.0
634785708,310729981,67.0
634785744,634785708,32.0
634785744,1224854774,62.0
54398934,3222703094,39.0
356126764,2632208068,94.0
777916580,1691663875,67.0
777916580,4326586178,13.0
6021320893,1271016120,2.0
6021320897,206204624,262.0
581701844,581703450,75.0
2960003290,2960006640,5.0
2960003290,3313210937,4.0
2960003290,2960006639,13.0
2960003295,2960404462,30.0
2960003295,2960006639,104.0
636883225,364861092,105.0
356127080,356127457,37.0
356127080,1449308625,9.0
814816086,814816065,198.0
767693486,767710271,56.0
356127424,356126764,42.0
767693506,5957906913,52.0
356127457,576837332,41.0
4746121967,6167359488,73.0
4746121967,588198725,41.0
4746121968,4746122983,9.0
222958329,224738476,17.0
222958329,30287592,244.0
54399741,282825809,30.0
2183271187,775941687,27.0
2183271188,6125904515,8.0
2183271188,2183271187,15.0
356127514,356127550,54.0
1224872742,41675609,9.0
356127550,4583419070,29.0
4460254041,2207676346,3.0
4460254046,781092991,10.0
4460254047,2207974407,4.0
4460254048,780995790,10.0
1217532771,1217532913,6.0
1217532788,560984864,37.0
332796790,332797060,28.0
332796790,332797041,26.0
332796854,30287595,41.0
332796855,3807748049,17.0
1217532870,1217532771,32.0
153752520,3793626750,45.0
1217532913,1217532917,12.0
1217532917,92139159,7.0
711332946,711327756,8.0
332797041,35301704,44.0
332797041,332796790,26.0
579998842,579999037,202.0
332797060,35301705,45.0
332797060,332796790,28.0
127538409,746341037,60.0
127538423,127544550,138.0
127538423,310944921,15.0
266736903,576875919,5.0
266736903,582798938,383.0
266736930,1450727063,35.0
266736930,576864253,127.0
266736950,714724461,91.0
579999037,579999049,107.0
266736957,266736950,259.0
579999049,579999050,55.0
579999050,579999252,50.0
266736979,248737313,3.0
266736979,714724455,64.0
4238873971,6167266593,37.0
4238873973,2188399790,111.0
579999137,580000016,263.0
2133726644,2133726647,37.0
2133726646,2133726644,6.0
2133726647,2142220736,180.0
579999196,579999697,40.0
934024695,2314545794,11.0
266737144,5922126223,30.0
266737144,3494348621,87.0
579999252,202761482,35.0
202774098,581704986,171.0
316413655,6167489399,74.0
4746122984,2279153639,12.0
4746122984,6167359491,10.0
4746122984,4746122983,12.0
4746122983,6167357881,51.0
4746122983,4746122984,12.0
3066173175,176703266,67.0
581703450,581703550,143.0
6222911317,2312383359,9.0
581703514,581703526,45.0
581703526,581701844,153.0
6222911350,6222911352,59.0
6222911352,1650033638,20.0
6222911352,207078731,19.0
581703550,581703032,553.0
777787267,777787272,13.0
777787272,780992562,4.0
777787272,780979401,120.0
579475339,579478322,26.0
579475339,579478640,30.0
3098154918,529158996,5.0
579999697,579999705,28.0
579999705,580000457,289.0
2353534938,2353534942,19.0
2353534943,257506570,25.0
2353534942,257506582,33.0
2353534946,2353534943,17.0
2353534946,257506661,15.0
471341105,30287316,82.0
441587780,634777745,46.0
441587781,441587780,74.0
266737766,6202470179,14.0
266737766,5424203834,39.0
266737768,266738793,169.0
266737768,266737786,33.0
266737768,6202470179,28.0
266737786,5424203856,89.0
92149884,591224041,3.0
92149884,571731867,19.0
266737792,582797994,10.0
316414092,316413655,7.0
572004507,287630668,48.0
572004507,3094966842,32.0
92149924,373635381,15.0
92149924,163627903,101.0
92149927,591354710,10.0
92149931,92149927,10.0
266737835,2698607292,87.0
92149934,591354267,3.0
92149939,301539191,42.0
92149946,591199154,6.0
3208517859,233315115,23.0
1095506175,227770471,50.0
1095506175,227770331,114.0
580000016,581710140,260.0
441588022,441588021,29.0
441588023,5299391821,16.0
441588025,441588023,31.0
711334250,277517042,13.0
711334295,711357937,5.0
233314776,233314999,54.0
233314797,364869016,7.0
233314809,5957906915,7.0
233314809,233314833,64.0
711334398,711357122,7.0
233314824,4294474621,62.0
233314833,233314809,64.0
233314833,233314914,18.0
233314845,6145331908,54.0
233314855,233314845,92.0
5457975847,1668523241,3.0
5457975847,2400295351,2.0
636754479,377544273,67.0
636754479,2613024047,6.0
358731556,358731575,49.0
233314893,233314797,89.0
233314914,233314893,45.0
233314919,233315009,50.0
3208518267,233315095,10.0
233314946,233262696,84.0
3208518286,1725216611,20.0
3208518295,1725216810,20.0
3208518297,3208518295,46.0
3208518304,6167344505,57.0
3208518299,1725216770,37.0
233314981,628823578,5.0
233314999,233314946,115.0
3132496573,597547574,7.0
3132496575,597546784,9.0
233315009,361227524,34.0
233315030,361227884,41.0
233315035,5957906941,17.0
572005110,3094966843,44.0
589306639,589306736,22.0
92150545,591354261,10.0
233315095,448076959,28.0
233315095,30946386,11.0
589699881,2202858918,18.0
233315115,30946384,14.0
233315133,448076960,30.0
589306701,255058767,12.0
589306718,255059109,21.0
589306736,588876889,37.0
233315220,298099466,26.0
777788322,1833115018,12.0
777788326,387153096,69.0
777788326,777788328,14.0
777788328,777774421,82.0
3268156337,2347007256,120.0
3268156342,3268156337,17.0
3268156354,3268156342,22.0
370285600,370285607,65.0
560602147,541122861,37.0
370285607,633912912,25.0
2183273512,2183290186,7.0
2183273516,6167266631,7.0
6206790703,269335444,16.0
266738765,266738793,14.0
266738765,266739133,160.0
266738765,576824412,79.0
266738793,266738765,14.0
266738793,266737768,169.0
581704817,581701516,344.0
581704817,202774098,29.0
4423038317,4520380447,2.0
145235154,26034544,41.0
4423038318,4423038317,4.0
128982235,113536277,56.0
128982276,607756858,27.0
145235215,145235381,28.0
581704986,581705123,553.0
145235264,145236879,36.0
3945799005,2177124599,5.0
630463849,4305342596,29.0
266739054,252588540,275.0
3945799030,2174950793,7.0
3945799031,3945799033,4.0
3945799028,2174963249,2.0
3945799033,3945799034,6.0
3945799034,6167191688,10.0
3945799034,3945799030,4.0
3945799035,2174963237,5.0
3945799035,2269263377,7.0
3945799036,2174950792,6.0
3945799032,3945799035,5.0
581705123,373645741,649.0
3730054579,2481930366,10.0
145235381,145235154,10.0
1093410235,2621587200,8.0
1093410235,277368222,238.0
266739133,266739152,12.0
266739133,582798839,7.0
266739152,266739133,12.0
266739152,582798857,11.0
1093410277,277367211,147.0
1093410277,1093410280,203.0
1093410280,1093410277,203.0
1093410280,3036576338,12.0
2960006639,2960003295,104.0
2960006639,2960003290,13.0
2960006640,5856680721,1.0
2960006640,2960003290,5.0
777788921,317369542,51.0
596909581,6167441062,25.0
2588548681,577518118,19.0
777789012,777788921,12.0
572006019,5797734218,34.0
572006019,137157901,31.0
233578120,4283908129,22.0
233578120,2346846625,81.0
233578139,307349677,15.0
233578163,269335261,222.0
579477191,4264281406,73.0
580001776,581704817,165.0
568336382,1686695067,30.0
579477592,4264281401,210.0
1492131944,296027574,43.0
5034416925,2006021064,8.0
266739818,577455294,14.0
266739826,248746937,27.0
266739826,248266307,123.0
2190483577,6167441047,5.0
2190483579,6167441005,6.0
2190483579,2190483581,15.0
2190483580,6167441058,4.0
2190483580,6167440989,7.0
1492131965,1492131944,8.0
2190483581,6167441016,107.0
2190483590,4326586192,6.0
2190483590,6167440999,8.0
2190483582,2190483584,14.0
2190483583,4326586193,5.0
2190483584,6167441002,7.0
2190483584,6167441026,9.0
2190483586,4326586203,6.0
2190483588,6167285770,6.0
2190483589,4326586183,5.0
2190483591,6167236651,7.0
2190483592,6167236693,9.0
2190483592,4326586201,6.0
2190483594,2190483592,12.0
2190483598,6167441011,13.0
2190483600,2190483591,12.0
2190483600,6167440992,7.0
266739860,4380043477,5.0
266739860,266740432,86.0
266739935,2569100353,81.0
283255046,2312383366,8.0
283255047,5668009832,15.0
416817424,416817425,76.0
416817425,3146808102,36.0
266740008,2569100356,13.0
6167191690,6167191713,27.0
6167191725,2188421311,105.0
103293548,612015102,82.0
103293548,103295646,17.0
6167191730,6167441077,51.0
579478220,579478322,31.0
579478220,579478244,27.0
266740432,576860093,39.0
266740436,576860677,4.0
579478244,579477191,20.0
628761345,2358071077,67.0
579478322,579475339,26.0
579478322,579478220,31.0
2346984246,560989090,21.0
2346984246,844407073,16.0
560997175,310727779,72.0
579478363,579478220,27.0
576856945,576860007,9.0
579478395,579478244,32.0
145236879,145235215,8.0
938091424,2392803738,11.0
938091424,6206790703,114.0
30942256,130038870,263.0
30942258,387152996,14.0
30942258,3202917978,49.0
30942260,387153032,14.0
30942261,3215192041,44.0
30942262,332546227,51.0
30942265,387152990,56.0
579478640,579512268,762.0
579478640,579475339,30.0
2641765496,2641765498,44.0
2641765498,267317732,166.0
30286983,76459296,17.0
30286983,2613010008,19.0
30286983,373644207,29.0
3367904396,589402311,8.0
3367904396,6167236669,17.0
3367904407,2948774549,24.0
3367904412,6167289295,4.0
560997596,30286987,117.0
560997597,560997596,9.0
560997636,560997615,51.0
611984646,103299651,49.0
560997640,560997636,63.0
245507480,245507370,105.0
2180785571,2180785574,11.0
2180785574,6167191180,7.0
589702568,589704714,4.0
2180785594,2180785601,87.0
2180785601,6167191740,8.0
2180785601,2180785611,16.0
2180785611,6167344363,5.0
2180785618,2180785601,11.0
30287315,1985549819,12.0
30287315,472236193,36.0
30287316,6209516580,13.0
30287324,319157063,119.0
30287324,30287325,18.0
30287325,319157897,51.0
30287405,955611523,10.0
30942766,471259500,25.0
30287406,34160613,13.0
2005895266,477075431,7.0
2005895266,6209516581,10.0
30287410,3189789232,107.0
30287410,30287411,17.0
30287411,5642310405,3.0
30287414,30287406,16.0
2005895268,30947457,6.0
2005895268,6209516580,58.0
30942794,387152992,16.0
30942794,127650543,47.0
30942795,801840602,15.0
30942795,3204395235,79.0
30287464,4297530210,2.0
30287464,4297530208,2.0
30287469,2204643319,2.0
30287470,227770320,61.0
3793626736,6282174147,4.0
3793626736,664380189,709.0
3793626740,1525908932,14.0
3793626740,2177831012,377.0
