suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population
ABBOTSFORD,2304,4706,Yarra,68%,"$1,797","$1,299,400",4025
ABERFELDIE,1410,453,Moonee Valley,81%,"$1,571","$1,926,600",22442
ALBANVALE,1897,138,Brimbank,46%,$907,"$594,200",54005
ALBION,1389,1392,Brimbank,52%,$929,"$739,100",30677
ALPHINGTON,1729,1099,Darebin,73%,"$1,538","$1,729,600",9227
ALTONA,4843,2394,Hobsons Bay,70%,"$1,160","$1,139,500",11742
ALTONA NORTH,5002,1622,Hobsons Bay,52%,$910,"$935,500",12830
ARDEER,1263,335,Brimbank,46%,$895,"$663,400",10176
ARMADALE,2838,3841,Stonnington,73%,"$1,713","$1,925,900",8428
ASHWOOD,2378,1176,Monash,73%,"$1,469","$1,436,500",12420
ASPENDALE,2432,1048,Kingston,76%,"$1,492","$1,424,900",24045
ATTWOOD,824,102,Hume,74%,"$1,388","$995,100",8623
BALACLAVA,1403,2485,Port Phillip,63%,"$1,449","$1,462,600",17374
BALWYN,4589,2796,Boroondara,71%,"$1,563","$2,551,100",13849
BALWYN NORTH,7484,1598,Boroondara,68%,"$1,787","$2,143,200",19335
BAYSWATER,4737,3089,Knox,77%,"$1,186","$865,500",19945
BAYSWATER NORTH,3026,1874,Maroondah,77%,"$1,186","$836,500",19945
BEAUMARIS,5041,1732,Bayside,79%,"$1,845","$1,882,800",17536
BELLFIELD,738,119,Banyule,74%,$938,"$994,800",13096
BENTLEIGH,5799,3228,Glen Eira,72%,"$1,538","$1,649,200",17630
BLACKBURN,4821,2501,Whitehorse,75%,"$1,387","$1,485,900",27564
BLACKBURN SOUTH,3588,1235,Whitehorse,75%,"$1,387","$1,286,500",27564
BONBEACH,2249,1613,Kingston,76%,"$1,179","$1,114,700",19121
BORONIA,8285,4281,Knox,79%,"$1,162","$832,500",20314
BRAYBROOK,2822,1654,Maribyrnong,52%,$792,"$755,400",6573
BRIAR HILL,1201,531,Banyule,83%,"$1,524","$974,500",26045
BRIGHTON,8625,6345,Bayside,77%,"$2,200","$2,483,600",20135
BRIGHTON EAST,6029,2973,Bayside,74%,"$1,797","$2,099,900",13714
BROADMEADOWS,4395,1983,Hume,58%,$762,"$565,700",18510
BROOKLYN,1077,551,Hobsons Bay,56%,"$1,162","$701,800",19978
BRUNSWICK,8835,8041,Moreland,62%,"$1,433","$1,265,800",20155
BRUNSWICK EAST,3673,3968,Moreland,63%,"$1,468","$1,312,400",6918
BRUNSWICK WEST,4431,4309,Moreland,65%,"$1,232","$1,108,300",11882
BULLEEN,4269,979,Manningham,58%,"$1,225","$1,322,600",10590
BUNDOORA,8943,3243,Whittlesea,69%,"$1,172","$876,900",24119
BURNLEY,305,258,Yarra,65%,"$1,731","$1,272,500",24112
BURNSIDE,1290,343,Melton,57%,"$1,423","$788,300",14107
BURNSIDE HEIGHTS,1598,121,Melton,57%,"$1,423","$808,400",14107
BURWOOD,5052,3288,Whitehorse,73%,"$1,100","$1,296,800",18501
CAIRNLEA,2159,192,Brimbank,57%,"$1,423","$969,000",14107
CAMBERWELL,7459,4358,Boroondara,77%,"$2,122","$2,235,400",15537
CAMPBELLFIELD,2830,1163,Hume,48%,$786,"$588,600",5480
CANTERBURY,2781,1325,Boroondara,80%,"$2,352","$2,875,800",7418
CARLTON,2909,16139,Melbourne,47%,$633,"$1,480,600",10673
CARNEGIE,4596,5791,Glen Eira,64%,"$1,287","$1,406,500",30031
CARRUM,1725,1350,Kingston,76%,"$1,305","$1,047,100",12098
CAULFIELD,1723,1630,Glen Eira,61%,"$1,547","$1,704,100",15277
CAULFIELD EAST,490,537,Glen Eira,76%,"$1,663","$1,469,200",13712
CAULFIELD NORTH,4532,4465,Glen Eira,62%,"$1,735","$1,945,400",13600
CHADSTONE,3244,1608,Monash,65%,"$1,234","$1,217,700",12357
CHELTENHAM,8087,5856,Kingston,74%,"$1,233","$1,167,300",18907
CLARINDA,2271,640,Kingston,44%,"$1,116","$1,012,900",19027
CLAYTON,5171,5343,Monash,48%,$962,"$1,017,200",18901
