order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
D00001,2018-12-02,19:09:17,Dinner,NS,"[('Shrimp', 3), ('Pasta', 8)]",382.0,-37.8076106,144.9803789,0,5.976,15.3990967
D00002,2018-02-17,09:31:16,Breakfast,TP,"[('Eggs', 10), ('Coffee', 4), ('Cereal', 3), ('Pancake', 9)]",531.25,-37.804282,144.9497604,0,8.426,15.8276403
D00003,2018-05-30,12:54:05,Lunch,NS,"[('Chicken', 6), ('Steak', 1), ('Fries', 8)]",333.0,-37.8037357,145.0056821,0,9.633,15.0994608
D00004,2018-12-13,19:29:34,Dinner,NS,"[('Fish&Chips', 6), ('Pasta', 9)]",457.5,-37.8153528,144.9916292,0,10.059,14.1345632
D00005,2018-08-04,15:05:54,Lunch,TP,"[('Steak', 7), ('Salad', 5), ('Fries', 8), ('Chicken', 8)]",753.0,-37.8034692,144.9497639,0,9.924,14.7109822
D00006,2018-07-27,14:45:38,Lunch,TP,"[('Chicken', 2), ('Fries', 9), ('Steak', 6)]",442.0,-37.8002505,144.9700839,0,9.988,13.1701753
D00007,2018-02-09,09:10:59,Breakfast,TP,"[('Pancake', 2), ('Eggs', 6), ('Coffee', 8), ('Cereal', 9)]",429.5,-37.8148453,144.9688857,0,8.183,11.3751651
D00008,2018-07-07,14:05:04,Lunch,NS,"[('Fries', 5), ('Steak', 3), ('Burger', 5), ('Salad', 8)]",487.6,-37.8017509,144.9950977,0,8.532,15.7064806
D00009,2018-12-04,19:09:17,Dinner,NS,"[('Pasta', 1), ('Fish&Chips', 7), ('Shrimp', 7), ('Salmon', 10)]",1060.5,-37.8054568,144.9333354,0,10.228,16.6343658
D00010,2018-10-09,17:17:44,Dinner,NS,"[('Pasta', 6), ('Salmon', 7), ('Fish&Chips', 2), ('Shrimp', 5)]",792.0,-37.8123325,144.9519667,0,8.64,13.9961899
D00011,2018-12-07,19:19:26,Dinner,NS,"[('Pasta', 3), ('Fish&Chips', 6)]",292.5,-37.8104621,145.0130671,0,10.634,16.7573916
D00012,2018-09-29,16:57:27,Dinner,NS,"[('Salmon', 6), ('Pasta', 8), ('Shrimp', 5)]",736.0,-37.8081697,144.9517597,0,8.509,16.4607378
D00013,2018-04-17,11:22:49,Breakfast,TP,"[('Cereal', 6), ('Pancake', 8), ('Eggs', 3)]",386.0,-37.8116531,144.9648411,0,8.412,11.3383987
D00014,2018-10-18,17:38:01,Dinner,BK,"[('Shrimp', 8), ('Fish&Chips', 2)]",502.0,-37.8033053,144.9510182,0,8.597,15.7597215
D00015,2018-10-12,17:27:53,Dinner,NS,"[('Shrimp', 7), ('Fish&Chips', 6), ('Pasta', 1), ('Salmon', 2)]",697.5,-37.8207651,144.966875,0,8.845,14.8796057
D00016,2018-11-10,18:18:35,Dinner,TP,"[('Shrimp', 4), ('Salmon', 3)]",339.0,-37.8168308,144.9565622,0,8.286,13.699778
D00017,2018-09-20,16:37:10,Dinner,BK,"[('Salmon', 1), ('Fish&Chips', 2)]",111.0,-37.8153761,144.9553213,0,8.407,15.7959206
D00018,2018-08-13,15:26:11,Lunch,BK,"[('Salad', 1), ('Burger', 1)]",48.2,-37.7993417,144.9671202,0,7.869,13.6665655
D00019,2018-07-14,14:25:21,Lunch,TP,"[('Fries', 9), ('Steak', 7), ('Burger', 1), ('Chicken', 4), ('Salad', 8)]",719.6,-37.8177582,145.006987,0,11.338,15.4928776
D00020,2018-10-05,17:07:36,Dinner,TP,"[('Salmon', 2), ('Pasta', 3), ('Fish&Chips', 5), ('Shrimp', 1)]",393.5,-37.8092433,144.9783574,0,9.294,13.5673479
D00021,2018-04-08,11:12:40,Breakfast,NS,"[('Eggs', 2), ('Coffee', 6)]",89.0,-37.8158075,144.9615259,0,8.354,15.5428474
D00022,2018-06-09,13:14:21,Lunch,BK,"[('Chicken', 5), ('Burger', 3)]",253.0,-37.8204355,144.9841682,0,6.443,15.0528591
D00023,2018-01-22,08:40:33,Breakfast,TP,"[('Cereal', 10), ('Coffee', 2)]",225.0,-37.8012268,144.9744203,0,10.002,12.6201327
D00024,2018-04-16,11:22:49,Breakfast,NS,"[('Cereal', 9), ('Eggs', 6), ('Pancake', 6), ('Coffee', 6)]",511.5,-37.8121745,144.9621986,0,7.837,12.550832
D00025,2018-01-06,08:10:08,Breakfast,NS,"[('Pancake', 9), ('Eggs', 5), ('Coffee', 5)]",365.75,-37.8135787,144.937065,1,9.971,8.5851174
D00026,2018-12-04,19:09:17,Dinner,NS,"[('Fish&Chips', 10), ('Shrimp', 2), ('Pasta', 2), ('Salmon', 5)]",718.0,-37.8054568,144.9333354,0,10.228,16.3059164
