order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
O00009,2018-05-01,11:53:14,Breakfast,NS,"[('Eggs', 6), ('Cereal', 1), ('Coffee', 3), ('Pancake', 8)]",369.5,-37.8049082,144.9468264,0,8.702,8.0709747
O00029,2018-08-19,15:36:20,Lunch,BK,"[('Chicken', 8), ('Salad', 8), ('Burger', 6), ('Steak', 3)]",714.6,-37.8246122,144.9528441,0,9.119,11.8458556
O00040,2018-04-11,11:12:40,Breakfast,BK,"[('Eggs', 5), ('Pancake', 5), ('Coffee', 5)]",268.75,-37.8317585,144.9649035,0,9.093,7.881402899999999
O00051,2018-09-18,16:37:10,Dinner,BK,"[('Fish&Chips', 8), ('Salmon', 1), ('Shrimp', 9), ('Pasta', 4)]",917.0,-37.8063482,144.9561166,0,8.33,8.9973252
O00054,2018-06-02,13:04:13,Lunch,NS,"[('Salad', 1), ('Fries', 3), ('Steak', 3)]",188.2,-37.8124518,144.9587199,0,8.066,23.7287739
O00065,2018-08-29,15:56:37,Lunch,TP,"[('Fries', 4), ('Steak', 1)]",93.0,-37.810548,144.9609973,0,8.507,20.0092892
O00072,2018-08-23,15:46:28,Lunch,TP,"[('Steak', 5), ('Burger', 9), ('Salad', 10), ('Chicken', 6), ('Fries', 5)]",928.0,-37.8264748,144.9516952,0,8.503,19.9485342
O00113,2018-11-12,18:28:43,Dinner,NS,"[('Shrimp', 1), ('Fish&Chips', 1), ('Salmon', 3)]",212.0,-37.8044394,144.9785221,0,7.179,21.1067829
O00126,2018-05-28,12:54:05,Lunch,NS,"[('Salad', 4), ('Fries', 4), ('Chicken', 10)]",436.8,-37.8140509,144.9599803,0,8.198,7.7813924
O00142,2018-10-04,17:07:36,Dinner,BK,"[('Shrimp', 9), ('Pasta', 4), ('Fish&Chips', 1), ('Salmon', 5)]",836.0,-37.8082252,144.9398885,0,10.002,24.7033702
O00149,2018-03-18,10:32:06,Breakfast,TP,"[('Cereal', 5), ('Coffee', 5)]",142.5,-37.8077001,144.9731247,0,9.272,21.5978127
O00152,2018-01-26,08:50:42,Breakfast,NS,"[('Cereal', 6), ('Eggs', 2)]",170.0,-37.8208435,144.94731,0,9.83,9.0079466
O00155,2018-11-09,18:18:35,Dinner,NS,"[('Pasta', 9), ('Fish&Chips', 6), ('Salmon', 8)]",785.5,-37.8198341,145.0108556,0,11.099,10.7898957
O00165,2018-07-05,14:05:04,Lunch,BK,"[('Salad', 7), ('Chicken', 3)]",216.4,-37.8046728,144.9365014,0,9.939,23.9353493
O00178,2018-03-15,10:21:58,Breakfast,TP,"[('Eggs', 2), ('Cereal', 2)]",86.0,-37.7995518,145.0036237,0,12.434,22.4273139
