order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
M00001,2018-10-10,17:17:44,Dinner,NS,"[('Pasta', 8), ('Fish&Chips', 3), ('Salmon', 6)]",571.0,-37.8120045,144.9530313,0,8.474,14.2904391
M00002,2018-08-10,15:16:03,Lunch,TP,"[('Salad', 7), ('Burger', 3), ('Chicken', 3)]",309.4,-37.8113413,144.9475256,0,10.446,16.5758127
M00003,2018-06-17,13:34:38,Lunch,TP,"[('Salad', 2), ('Chicken', 10), ('Steak', 10)]",804.4,-37.8021805,144.9837223,0,10.43,15.087473233129163
M00004,2018-04-28,11:53:14,Breakfast,TP,"[('Pancake', 9), ('Cereal', 8)]",386.25,-37.8224687,144.9684216,0,7.884,12.15657862165429
M00005,2018-03-15,10:21:58,Breakfast,NS,"[('Pancake', 5), ('Cereal', 4)]",205.25,-37.8036352,144.9486406,0,8.409,13.8496331
M00006,2018-05-11,12:13:31,Lunch,TP,"[('Salad', 4), ('Fries', 7), ('Chicken', 5), ('Burger', 1)]",343.8,-37.8106277,144.9904765,0,10.128,13.204342
M00007,2018-09-14,16:27:02,Dinner,TP,"[('Pasta', 7), ('Salmon', 1), ('Shrimp', 7)]",611.5,-37.8128986,144.9562336,0,8.59,12.8642788
M00008,2018-12-26,19:49:51,Dinner,BK,"[('Shrimp', 10), ('Pasta', 2)]",595.0,-37.8117076,144.9564256,0,8.082,15.5721023
M00009,2018-10-19,17:38:01,Dinner,TP,"[('Shrimp', 9), ('Fish&Chips', 3), ('Pasta', 8), ('Salmon', 4)]",975.0,-37.8167707,144.9947952,0,10.243,14.235847910008554
M00010,2018-03-13,10:21:58,Breakfast,BK,"[('Eggs', 4), ('Cereal', 10), ('Coffee', 4)]",328.0,-37.8166413,145.0133787,0,4.027,8.6445423
M00011,2018-05-15,12:23:39,Lunch,BK,"[('Steak', 10), ('Chicken', 6), ('Salad', 6)]",745.2,-37.8245495,144.9529383,0,9.154,15.4606725
M00012,2018-12-31,20:00:00,Dinner,BK,"[('Shrimp', 7), ('Pasta', 7)]",570.5,-37.8052862,145.0053315,0,5.157999999999998,15.802968
M00013,2018-09-11,16:16:54,Dinner,BK,"[('Pasta', 3), ('Shrimp', 3)]",244.5,-37.8176462,144.9486878,0,9.099,15.9095314
M00014,2018-08-24,15:46:28,Lunch,TP,"[('Chicken', 8), ('Burger', 1), ('Fries', 2)]",311.0,-37.8034374,144.9526287,0,9.747,13.6150293
M00015,2018-11-28,18:59:09,Dinner,BK,"[('Pasta', 3), ('Salmon', 6)]",328.5,-37.8094949,144.9726843,0,6.694,12.6824899
