suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,std_median_income,boxcox_number_of_units,boxcox_number_of_houses,sqrt_population,boxcox_median_house_price
ABBOTSFORD,2304,4706,Yarra,68.0,1797.0,1299400.0,4025,1.2902056465236071,15.165917666760565,17.055836352392664,63.4428877022476,4.7750934098242865
ABERFELDIE,1410,453,Moonee Valley,81.0,1571.0,1926600.0,22442,0.5773924387069799,9.243470503201786,15.121838568257186,149.80654191322887,4.799038146517063
ALBANVALE,1897,138,Brimbank,46.0,907.0,594200.0,54005,-1.5168906143471812,6.84592641872935,16.269489730418986,232.38975881049493,4.721666790149018
ALBION,1389,1392,Brimbank,52.0,929.0,739100.0,30677,-1.4475017180110494,11.865200157214787,15.065430049293846,175.1485084150019,4.737400773151343
ALPHINGTON,1729,1099,Darebin,73.0,1538.0,1729600.0,9227,0.47330909420278217,11.28179413230939,15.90407483115062,96.0572745813663,4.792663177195755
ALTONA,4843,2394,Hobsons Bay,70.0,1160.0,1139500.0,11742,-0.7189183064816651,13.271682781700347,20.332384621076233,108.36050941187015,4.766689919654473
ALTONA NORTH,5002,1622,Hobsons Bay,52.0,910.0,935500.0,12830,-1.507428492119527,12.252109086501475,20.4852048540406,113.26958991715296,4.753651884771849
ARDEER,1263,335,Brimbank,46.0,895.0,663400.0,10176,-1.5547391032577986,8.600139483401453,14.711531170981694,100.87616170334793,4.729693927250142
ARMADALE,2838,3841,Stonnington,73.0,1713.0,1925900.0,8428,1.0252662241492854,14.579513287378926,17.930778668735183,91.804139340228,4.799016895073194
ASHWOOD,2378,1176,Monash,73.0,1469.0,1436500.0,12420,0.25568028296673223,11.447171386457834,17.18639112223952,111.44505372604026,4.78136836263624
ASPENDALE,2432,1048,Kingston,76.0,1492.0,1424900.0,24045,0.32822322004541554,11.16659631109509,17.279581076915054,155.06450270774417,4.7808657235377625
ATTWOOD,824,102,Hume,74.0,1388.0,995100.0,8623,0.00020298282006500046,6.291736428893192,13.195856209268484,92.86010984270911,4.757788404875361
BALACLAVA,1403,2485,Port Phillip,63.0,1449.0,1462600.0,17374,0.1925994681157033,13.37205900303109,15.103112468754018,131.8104699938514,4.782481762553522
BALWYN,4589,2796,Boroondara,71.0,1563.0,2551100.0,13849,0.5521601127665683,13.69246301270631,20.07952644398478,117.6817742898194,4.815012693382309
BALWYN NORTH,7484,1598,Boroondara,68.0,1787.0,2143200.0,19335,1.2586652390980926,12.214060482605463,22.469174379646027,139.05035059286976,4.805203847241884
BAYSWATER,4737,3089,Knox,77.0,1186.0,865500.0,19945,-0.6369132471753274,13.96701565641221,20.228210779418095,141.2267680009707,4.748371173825101
BAYSWATER NORTH,3026,1874,Maroondah,77.0,1186.0,836500.0,19945,-0.6369132471753274,12.624461875720298,18.206780047307216,141.2267680009707,4.74603162805366
BEAUMARIS,5041,1732,Bayside,79.0,1845.0,1882800.0,17536,1.4415996021660766,12.420446571863826,20.522081805327893,132.4235628579748,4.797690319015072
BELLFIELD,738,119,Banyule,74.0,938.0,994800.0,13096,-1.4191153513280865,6.57169377894401,12.823500513631055,114.43775600735974,4.7577683318811435
BENTLEIGH,5799,3228,Glen Eira,72.0,1538.0,1649200.0,17630,0.47330909420278217,14.08938595015027,21.196270737860527,132.77801022759755,4.789806815282665
BLACKBURN,4821,2501,Whitehorse,75.0,1387.0,1485900.0,27564,-0.002951057922486447,13.389374844258356,20.310917956985776,166.02409463689298,4.783455822074474
BLACKBURN SOUTH,3588,1235,Whitehorse,75.0,1387.0,1286500.0,27564,-0.002951057922486447,11.567607402013321,18.955712253333463,166.02409463689298,4.774462478205335
BONBEACH,2249,1613,Kingston,76.0,1179.0,1114700.0,19121,-0.6589915323731875,12.23789882541375,16.95656402106728,138.27870407260838,4.765260438193921
BORONIA,8285,4281,Knox,79.0,1162.0,832500.0,20314,-0.7126102249965621,14.890759232003404,22.993349893790707,142.52719038836062,4.745701326296583
BRAYBROOK,2822,1654,Maribyrnong,52.0,792.0,755400.0,6573,-1.8796052997405979,12.302083118580214,17.90660568878645,81.0740402348372,4.738936909589473
BRIAR HILL,1201,531,Banyule,83.0,1524.0,974500.0,26045,0.42915252380706187,9.592197950510473,14.52668053353477,161.38463371709216,4.756392982074103
BRIGHTON,8625,6345,Bayside,77.0,2200.0,2483600.0,20135,2.5612840657718405,16.056641793474373,23.20338680870222,141.89785058273435,4.813524723757047
BRIGHTON EAST,6029,2973,Bayside,74.0,1797.0,2099900.0,13714,1.2902056465236071,13.861156290017538,21.38655249454957,117.10678887237921,4.804032652400336
BROADMEADOWS,4395,1983,Hume,58.0,762.0,565700.0,18510,-1.974226522017141,12.772099277262909,19.87857651308903,136.0514608521349,4.718028893949016
BROOKLYN,1077,551,Hobsons Bay,56.0,1162.0,701800.0,19978,-0.7126102249965621,9.674368541178247,14.132261785962681,141.34355308962628,4.733727697124284
BRUNSWICK,8835,8041,Moreland,62.0,1433.0,1265800.0,20155,0.14213481623488014,16.787130154134815,23.329758133352254,141.96830632222108,4.773434071099302
BRUNSWICK EAST,3673,3968,Moreland,63.0,1468.0,1312400.0,6918,0.2525262422241808,14.672418463159742,19.06048265175712,83.17451532771321,4.775721697548901
BRUNSWICK WEST,4431,4309,Moreland,65.0,1232.0,1108300.0,11882,-0.4918273730179608,14.909605258807042,19.91640661093176,109.00458705944443,4.764885356476141
BULLEEN,4269,979,Manningham,58.0,1225.0,1322600.0,10590,-0.5139056582158209,11.002687556882865,19.74414496484618,102.90772565750348,4.776209472308526
BUNDOORA,8943,3243,Whittlesea,69.0,1172.0,876900.0,24119,-0.6810698175710477,14.102314883314431,23.393795826856273,155.30292978562898,4.749265311054469
BURNLEY,305,258,Yarra,65.0,1731.0,1272500.0,24112,1.0820389575152116,8.062889327275986,10.094799096599647,155.28039155025337,4.773769125839189
BURNSIDE,1290,343,Melton,57.0,1423.0,788300.0,14107,0.11059440880936566,8.649569365000636,14.789719849811537,118.77289253024026,4.7419200594290185
BURNSIDE HEIGHTS,1598,121,Melton,57.0,1423.0,808400.0,14107,0.11059440880936566,6.602292653045157,15.598423126347631,118.77289253024026,4.743670237857848
BURWOOD,5052,3288,Whitehorse,73.0,1100.0,1296800.0,18501,-0.9081607510347519,14.14079082846986,20.532440834465927,136.0183811107896,4.77496684988342
CAIRNLEA,2159,192,Brimbank,57.0,1423.0,969000.0,14107,0.11059440880936566,7.47617933706739,16.789753380663903,118.77289253024026,4.756014441775853
CAMBERWELL,7459,4358,Boroondara,77.0,2122.0,2235400.0,15537,2.3152688878528274,14.942330025944175,22.452089897988273,124.64750298341319,4.807606031472462
CAMPBELLFIELD,2830,1163,Hume,48.0,786.0,588600.0,5480,-1.8985295441959065,11.419927029185844,17.918706139271688,74.02702209328699,4.720968676179032
CANTERBURY,2781,1325,Boroondara,80.0,2352.0,2875800.0,7418,3.0406982586396607,11.741982485920623,17.84414723829891,86.1278120005379,4.821565848937658
CARLTON,2909,16139,Melbourne,47.0,633.0,1480600.0,10673,-2.381097777806278,19.06726470308473,18.036721204743206,103.31021246711285,4.7832358678118485
CARNEGIE,4596,5791,Glen Eira,64.0,1287.0,1406500.0,30031,-0.31835513217763123,15.780723654418091,20.086646465599888,173.29454694248173,4.780058309342
CARRUM,1725,1350,Kingston,76.0,1305.0,1047100.0,12098,-0.26158239881170514,11.788582259387672,15.895026812455406,109.99090871522064,4.761162365975057
CAULFIELD,1723,1630,Glen Eira,61.0,1547.0,1704100.0,15277,0.5016954608857451,12.264682753084621,15.890496371947687,123.60016181219181,4.791774739471336
CAULFIELD EAST,490,537,Glen Eira,76.0,1663.0,1469200.0,13712,0.8675641870217131,9.61712892237839,11.503944647656008,117.09824934643558,4.7827595504699145
CAULFIELD NORTH,4532,4465,Glen Eira,62.0,1735.0,1945400.0,13600,1.0946551204854174,15.012688038624125,20.021216335372948,116.61903789690601,4.799605468798966
CHADSTONE,3244,1608,Monash,65.0,1234.0,1217700.0,12357,-0.48551929153285794,12.229974296444727,18.509799507368275,111.16204388189342,4.770964653818836
CHELTENHAM,8087,5856,Kingston,74.0,1233.0,1167300.0,18907,-0.4886733322754094,15.814261526574752,22.867767387983314,137.5027272456805,4.7682487304875245
CLARINDA,2271,640,Kingston,44.0,1116.0,1012900.0,19027,-0.8576960991539287,10.011115602674698,16.996508501360616,137.93839204514455,4.758966612641217
CLAYTON,5171,5343,Monash,48.0,962.0,1017200.0,18901,-1.3434183735068517,15.540194023309285,20.643344452476722,137.48090776540573,4.759247524381067
CLAYTON SOUTH,4011,2549,Kingston,44.0,1116.0,927200.0,19027,-0.8576960991539287,13.440748223644754,19.458437822322672,137.93839204514455,4.753050864020654
COBURG,10323,4557,Moreland,63.0,1268.0,1129500.0,29021,-0.3782819062861087,15.072015421832488,24.161002639466997,170.35551062410633,4.766118035726936
COBURG NORTH,3269,947,Moreland,63.0,1268.0,909700.0,29021,-0.3782819062861087,10.923221971303972,18.543476305684294,170.35551062410633,4.751762291967109
COLLINGWOOD,2122,4470,Yarra,60.0,1278.0,1275000.0,5113,-0.34674149886059424,15.015939655236199,16.719523552301393,71.50524456289902,4.7738936060529715
COOLAROO,1300,237,Hume,57.0,867.0,507200.0,18590,-1.6430522440492392,7.892044264997349,14.818339417254457,136.3451502621197,4.7098231661538446
CRAIGIEBURN,19933,1906,Hume,74.0,1349.0,643500.0,25491,-0.12280460613944146,12.668566106688166,27.948419109832038,159.6590116466966,4.7274920198290635
CREMORNE,901,1028,Yarra,65.0,1731.0,1529500.0,24112,1.0820389575152116,11.120080604849209,13.503190190521462,155.28039155025337,4.785230373193757
CROYDON,9705,5573,Maroondah,81.0,1267.0,902900.0,37491,-0.3814359470286602,15.665790396219561,23.82849239384407,193.62592801585225,4.751253566828083
CROYDON NORTH,2487,783,Maroondah,81.0,1267.0,1020800.0,37491,-0.3814359470286602,10.474886151824753,17.372774478450125,193.62592801585225,4.759481616074617
CROYDON SOUTH,1772,354,Maroondah,81.0,1267.0,835300.0,37491,-0.3814359470286602,8.715916990163237,16.00027620157737,193.62592801585225,4.745932736241083
DALLAS,2207,315,Hume,58.0,762.0,514300.0,18510,-1.974226522017141,8.47190134558885,16.879411255643173,136.0514608521349,4.710877957374038
DANDENONG,8074,9600,Greater Dandenong,48.0,899.0,685100.0,45248,-1.542122940287593,17.348131952330306,22.859434503916834,212.7157728049333,4.732006697034378
DANDENONG NORTH,7575,1845,Greater Dandenong,48.0,899.0,758400.0,45248,-1.542122940287593,12.58392073349896,22.530970667989024,212.7157728049333,4.739215313737508
DEER PARK,6436,1475,Brimbank,57.0,1423.0,661400.0,14107,0.11059440880936566,12.010855721421484,21.709194698465225,118.77289253024026,4.729476223820382
DELAHEY,2193,541,Brimbank,64.0,1491.0,648400.0,27356,0.3250691793028641,9.63361479593796,16.853427002285535,165.3964933122828,4.728041684407508
DIAMOND CREEK,3765,720,Nillumbik,88.0,1860.0,983500.0,10332,1.4889102133043484,10.280540151760489,19.171671579598662,101.6464460765845,4.757006932016985
DONCASTER,7598,4243,Manningham,58.0,1242.0,1446200.0,17447,-0.46028696559244636,14.865009595248067,22.54649341466264,132.0870924806811,4.781784959755341
DONCASTER EAST,9879,4060,Manningham,60.0,1356.0,1477300.0,26080,-0.10072632094158132,14.738111694749238,23.923822107328274,161.4930339054908,4.78309843883376
DONVALE,4065,1346,Manningham,74.0,1614.0,1498500.0,10274,0.7130161906366922,11.781177199529617,19.519454575074207,101.36074190730847,4.78397498608795
DOVETON,3150,953,Casey,59.0,819.0,602200.0,9801,-1.7944461996917087,10.938298539274172,18.381245750983418,99.0,4.722650559617679
EAGLEMONT,1441,442,Banyule,77.0,1551.0,2047000.0,21826,0.514311623855951,9.190136566108094,15.203866321949475,147.7362514753911,4.80256196027619
ELSTERNWICK,3005,3427,Glen Eira,69.0,1497.0,1859300.0,10824,0.34399342375817277,14.25680247246312,18.17665710082594,104.03845442911962,4.796951615175985
ELTHAM,6040,1782,Nillumbik,85.0,1923.0,1178700.0,28827,1.6876147800850894,12.493895309267728,21.395503314375073,169.78515836197226,4.768875166255638
ELTHAM NORTH,2175,118,Nillumbik,85.0,1923.0,1227100.0,28827,1.6876147800850894,6.556225606997698,16.81981874428754,169.78515836197226,4.771456317054603
ELWOOD,3628,8403,Port Phillip,72.0,1715.0,1874000.0,12829,1.0315743056343885,16.92535936423838,19.005265782953735,113.26517558367179,4.797414996344144
EPPING,13368,3047,Whittlesea,73.0,1283.0,673200.0,19624,-0.330971295147837,13.929094457721463,25.59476875520663,140.0856880626997,4.730749442345956
ESSENDON,6869,5592,Moonee Valley,81.0,1571.0,1550000.0,22442,0.5773924387069799,15.675962211297898,22.034633071866672,149.80654191322887,4.786043947131631
ESSENDON WEST,543,204,Moonee Valley,81.0,1571.0,1154400.0,22442,0.5773924387069799,7.594775879057732,11.82564038877563,149.80654191322887,4.767530982728879
EUMEMMERRING,610,489,Casey,59.0,819.0,668900.0,9801,-1.7944461996917087,9.4104493368588,12.197449859039397,99.0,4.730288586342093
FAIRFIELD,2113,1694,Darebin,73.0,1538.0,1615300.0,9227,0.47330909420278217,12.363376924109486,16.702289437343335,96.0572745813663,4.788552092676802
FAWKNER,4754,1266,Moreland,53.0,865.0,745500.0,12899,-1.649360325534342,11.628887107189817,20.245045327381355,113.57376457615553,4.738008706309539
FITZROY,3147,5530,Yarra,63.0,1483.0,1568000.0,9007,0.2998368533624525,15.642657700928535,18.377091619039717,94.90521587352299,4.786747763007084
FLEMINGTON,1877,3086,Moonee Valley,62.0,1401.0,1069400.0,14523,0.04120551247323382,13.964321975976663,16.22740922257087,120.51141024815865,4.762548401976876
FOOTSCRAY,5286,6864,Maribyrnong,49.0,1181.0,869400.0,16926,-0.6526834508880847,16.296662472633873,20.748555901653397,130.09996156801893,4.748678640262094
FOREST HILL,3743,1715,Whitehorse,70.0,1202.0,1170300.0,20796,-0.5864485952945042,12.395051953471613,19.14528661954836,144.20818284688286,4.768414289264315
GARDENVALE,298,384,Glen Eira,69.0,1497.0,1491600.0,10824,0.34399342375817277,8.888122381250014,10.028874792030035,104.03845442911962,4.783691331711068
GLEN IRIS,7727,5128,Boroondara,77.0,1965.0,1995800.0,18622,1.8200844912722502,15.418444666499488,22.632850931468916,136.46244904734783,4.801094578541894
GLENROY,7882,4021,Moreland,66.0,1004.0,743900.0,27707,-1.2109486623196908,14.71042382639487,22.735069147510266,166.45419790440852,4.737857309893189
GOWANBRAE,651,337,Moreland,65.0,1150.0,919100.0,16710,-0.7504587139071796,8.612592789937882,12.408799913659855,129.267165204471,4.75245808828474
GREENSBOROUGH,7426,2533,Banyule,83.0,1524.0,984000.0,26045,0.42915252380706187,13.423718319667682,22.42946658639916,161.38463371709216,4.757040843126367
GREENVALE,6480,251,Hume,72.0,1730.0,942100.0,9120,1.0788849167726602,8.007335388124421,21.743067567891107,95.49869109050658,4.75412527018709
HADFIELD,2326,712,Moreland,66.0,1004.0,805000.0,27707,-1.2109486623196908,10.254808383090158,17.095003597559153,166.45419790440852,4.743377869317545
HALLAM,3494,1290,Casey,56.0,1156.0,724000.0,9061,-0.7315344694518708,11.675436085416926,18.837459688299273,95.1892851112981,4.735941125872097
HAMPTON,4651,2612,Bayside,78.0,1653.0,2032200.0,11231,0.8360237795961987,13.506908934648859,20.142283259918774,105.9764124699454,4.802142345853436
